Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297907_0_r	1137	24	73	128	-0.43	0.43	5.486
297910_0	revers_1046	1	0	0	0	0	�
297910_0	revers_1046	2	0	0	0	0	�
297910_0	revers_1046	3	0	0	0	0	�
297910_0	revers_1046	4	0	0	0	0	�
297910_0	revers_1046	5	0	0	0	0	�
297910_0	revers_1046	6	0	0	0	0	�
297910_0	revers_1046	7	0	0	0	0	�
297910_0	revers_1046	8	1	152	-0.993	0.993	17.264
297910_0	revers_1046	9	39	388	-0.899	0.899	23.885
297910_0	revers_1046	10	43	272	-0.842	0.842	18.247
297910_0	revers_1046	11	0	212	-1	1	20.591
297910_0	revers_1046	12	0	220	-1	1	20.976
297910_0	revers_1046	13	0	260	-1	1	22.804
297910_0	revers_1046	14	0	472	-1	1	30.725
297910_0	revers_1046	15	0	360	-1	1	26.833
297910_0	revers_1046	16	0	272	-1	1	23.324
297910_0	revers_1046	17	5	380	-0.987	0.987	27.028
297910_0	revers_1046	18	3	348	-0.991	0.991	26.042
297910_0	revers_1046	19	3	396	-0.992	0.992	27.824
297910_0	revers_1046	20	3	316	-0.991	0.991	24.784
297910_0	revers_1046	21	55	280	-0.804	0.804	17.385
297910_0	revers_1046	22	81	224	-0.638	0.638	11.58
297910_0	revers_1046	23	41	116	-0.647	0.647	8.465
297910_0	revers_1046	24	6	92	-0.935	0.935	12.286
297910_0_r	1046	1	0	0	0	0	�
297910_0_r	1046	2	0	0	0	0	�
297910_0_r	1046	3	0	0	0	0	�
297910_0_r	1046	4	0	0	0	0	�
297910_0_r	1046	5	0	0	0	0	�
297910_0_r	1046	6	0	0	0	0	�
297910_0_r	1046	7	0	0	0	0	�
297910_0_r	1046	8	1	40	-0.975	0.975	8.614
297910_0_r	1046	9	108	128	-0.156	0.156	1.841
297910_0_r	1046	10	4	112	-0.964	0.964	14.181
297910_0_r	1046	11	35	84	-0.583	0.583	6.352
297910_0_r	1046	12	0	136	-1	1	16.492
297910_0_r	1046	13	8	128	-0.938	0.938	14.552
297910_0_r	1046	14	18	112	-0.839	0.839	11.659
297910_0_r	1046	15	14	136	-0.897	0.897	14.087
297910_0_r	1046	16	21	116	-0.819	0.819	11.478
297910_0_r	1046	17	12	96	-0.875	0.875	11.431
297910_0_r	1046	18	202	148	0.365	0.267	4.082
297910_0_r	1046	19	45	164	-0.726	0.726	11.641
297910_0_r	1046	20	23	116	-0.802	0.802	11.156
297910_0_r	1046	21	60	136	-0.559	0.559	7.677
297910_0_r	1046	22	81	132	-0.386	0.386	4.942
297910_0_r	1046	23	43	36	0.194	0.163	1.114
297910_0_r	1046	24	7	40	-0.825	0.825	6.807
297910_1	revers_1059-a	1	0	0	0	0	�
297910_1	revers_1059-a	2	0	0	0	0	�
297910_1	revers_1059-a	3	0	0	0	0	�
297910_1	revers_1059-a	4	0	0	0	0	�
297910_1	revers_1059-a	5	0	0	0	0	�
297910_1	revers_1059-a	6	0	0	0	0	�
297910_1	revers_1059-a	7	0	0	0	0	�
297910_1	revers_1059-a	8	1	12	-0.917	0.917	4.315
297910_1	revers_1059-a	9	40	92	-0.565	0.565	6.401
297910_1	revers_1059-a	10	43	124	-0.653	0.653	8.864
297910_1	revers_1059-a	11	0	40	-1	1	8.944
297910_1	revers_1059-a	12	0	0	0	0	�
297910_1	revers_1059-a	13	0	0	0	0	�
297910_1	revers_1059-a	14	0	4	-1	1	2.828
297910_1	revers_1059-a	15	0	16	-1	1	5.657
297910_1	revers_1059-a	16	0	36	-1	1	8.485
297910_1	revers_1059-a	17	0	12	-1	1	4.899
297910_1	revers_1059-a	18	0	116	-1	1	15.232
297910_1	revers_1059-a	19	0	108	-1	1	14.697
297910_1	revers_1059-a	20	0	84	-1	1	12.961
297910_1	revers_1059-a	21	0	40	-1	1	8.944
297910_1	revers_1059-a	22	0	60	-1	1	10.954
297910_1	revers_1059-a	23	0	32	-1	1	8
297910_1	revers_1059-a	24	0	20	-1	1	6.325
297910_1_r	1059-a	1	0	0	0	0	�
297910_1_r	1059-a	2	0	0	0	0	�
297910_1_r	1059-a	3	0	0	0	0	�
297910_1_r	1059-a	4	0	0	0	0	�
297910_1_r	1059-a	5	0	0	0	0	�
297910_1_r	1059-a	6	0	0	0	0	�
297910_1_r	1059-a	7	0	0	0	0	�
297910_1_r	1059-a	8	1	48	-0.979	0.979	9.495
297910_1_r	1059-a	9	107	104	0.029	0.028	0.292
297910_1_r	1059-a	10	2	80	-0.975	0.975	12.182
297910_1_r	1059-a	11	35	60	-0.417	0.417	3.627
297910_1_r	1059-a	12	1	0	1000	1	1.414
297910_1_r	1059-a	13	7	12	-0.417	0.417	1.622
297910_1_r	1059-a	14	9	24	-0.625	0.625	3.693
297910_1_r	1059-a	15	5	28	-0.821	0.821	5.662
297910_1_r	1059-a	16	11	4	1.75	0.636	2.556
297910_1_r	1059-a	17	5	0	1000	1	3.162
297910_1_r	1059-a	18	193	100	0.93	0.482	7.684
297910_1_r	1059-a	19	30	120	-0.75	0.75	10.392
297910_1_r	1059-a	20	16	100	-0.84	0.84	11.03
297910_1_r	1059-a	21	5	96	-0.948	0.948	12.805
297910_1_r	1059-a	22	0	128	-1	1	16
297910_1_r	1059-a	23	2	56	-0.964	0.964	10.028
297910_1_r	1059-a	24	1	28	-0.964	0.964	7.091
297941_0	0085-l	1	0	0	0	0	�
297941_0	0085-l	2	0	0	0	0	�
297941_0	0085-l	3	0	0	0	0	�
297941_0	0085-l	4	0	0	0	0	�
297941_0	0085-l	5	0	0	0	0	�
297941_0	0085-l	6	0	0	0	0	�
297941_0	0085-l	7	2	0	1000	1	2
297941_0	0085-l	8	2	4	-0.5	0.5	1.155
297941_0	0085-l	9	25	16	0.562	0.36	1.988
297941_0	0085-l	10	12	4	2	0.667	2.828
297941_0	0085-l	11	2	0	1000	1	2
297941_0	0085-l	12	3	20	-0.85	0.85	5.013
297941_0	0085-l	13	2	16	-0.875	0.875	4.667
297941_0	0085-l	14	4	20	-0.8	0.8	4.619
297941_0	0085-l	15	4	4	0	0	0
297941_0	0085-l	16	2	28	-0.929	0.929	6.713
297941_0	0085-l	17	0	16	-1	1	5.657
297941_0	0085-l	18	5	16	-0.688	0.688	3.395
297941_0	0085-l	19	0	20	-1	1	6.325
297941_0	0085-l	20	0	16	-1	1	5.657
297941_0	0085-l	21	0	0	0	0	�
297941_0	0085-l	22	0	12	-1	1	4.899
297941_0	0085-l	23	0	0	0	0	�
