count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-7344.772765701404	552.2042712203206	--	-7344.772765701404	5.151554263545223E-4	0.018141102787996327	-0.6049945809912807	0.5267996086845493	0.06581450755216056	0.24913015381998171	-1.3573416875060147	1.3150191438630296	6490
-7254.056256159514	580.0600334619661	--	-7254.056256159514	5.01791366582063E-4	0.018151100696116848	-0.609526346700685	0.5177906154039246	0.06441519495878659	0.25071652610403633	-1.327452040010301	1.3118934220932712	6501
-7284.476513153671	520.5102255092723	--	-7284.476513153671	5.777357310006647E-4	0.01812728247918039	-0.583676775120114	0.5175911117395245	0.07426472212179482	0.24789134076642208	-1.0965505452991926	1.3483145787116073	6464
-7302.8458648812375	501.33224149043645	--	-7302.8458648812375	5.657701642155128E-4	0.01827027438834953	-0.5728620929541665	0.5212250109764747	0.07287709320366872	0.25200314318717004	-1.0795297903132741	1.376041512198285	6513
-7276.944870263863	490.1900677565655	--	-7276.944870263863	5.658737940643526E-4	0.01830702848414918	-0.5595722648938525	0.5176162839386454	0.07255167035716009	0.251549304551984	-1.0238013351397746	1.3984587330195797	6531
-7288.414344401965	518.264629981793	--	-7288.414344401965	5.910954382105457E-4	0.018336787802096164	-0.5464799648213469	0.5163870134562061	0.0760847597758503	0.25114586913134923	-1.0395513267732974	1.4146768858472332	6489
-7331.2942543876225	524.8466802339665	--	-7331.2942543876225	6.086014563471984E-4	0.01843651447341437	-0.523665765705152	0.5204753880620906	0.07788282673368131	0.24777591270900767	-0.977334002648784	1.4224031664116383	6460
-7362.197902590033	478.7517607546101	--	-7362.197902590033	6.195698555871471E-4	0.018221657077697514	-0.4651677323990173	0.514693121068943	0.07861479643587971	0.24465023135778088	-0.9622024727343854	1.427657413691965	6464
-7286.844621969742	550.3529493565634	--	-7286.844621969742	6.193253424941604E-4	0.01836155965298255	-0.417712491891321	0.5111719340902849	0.0788170552928533	0.24608881043731687	-1.0544920802371114	1.430401144765267	6450
-7331.828498880149	473.79768763148945	--	-7331.828498880149	7.011866797071161E-4	0.01833144307023823	-0.38194033524703164	0.536368524331528	0.0894803051971232	0.2431784752850506	-0.8919574639260825	1.4909065299386886	6530
