Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
50	16:44:00	16:44:00	16:44:00	16:44:00	16:44:00	16:44:00	16:44:00	16:44:01	16:44:01	16:44:01	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05
51	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05			16:44:05	16:44:05	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08			16:44:08	16:44:08		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
52	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08			16:44:08	16:44:08	16:44:11	16:44:11	16:44:11	16:44:11	16:44:11	16:44:11			16:44:11	16:44:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
53	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12			16:44:12	16:44:12	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14			16:44:15	16:44:15		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
54	16:44:15	16:44:15	16:44:15	16:44:15	16:44:15	16:44:15			16:44:15	16:44:15	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18			16:44:18	16:44:18		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
55	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18			16:44:18	16:44:18	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21			16:44:21	16:44:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
56	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21	16:44:21			16:44:22	16:44:22	16:44:24	16:44:24	16:44:24	16:44:24	16:44:24	16:44:24			16:44:25	16:44:25		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
57	16:44:25	16:44:25	16:44:25	16:44:25	16:44:25	16:44:25			16:44:25	16:44:25	16:44:28	16:44:28	16:44:28	16:44:28	16:44:28	16:44:28			16:44:28	16:44:28		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
58	16:44:28	16:44:28	16:44:28	16:44:28	16:44:28	16:44:28			16:44:28	16:44:28	16:44:31	16:44:31	16:44:31	16:44:31	16:44:31	16:44:31			16:44:31	16:44:31		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
59	16:44:31	16:44:31	16:44:31	16:44:31	16:44:31	16:44:31			16:44:31	16:44:31	16:44:34	16:44:34	16:44:34	16:44:34	16:44:34	16:44:34			16:44:35	16:44:35		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
60	16:44:35	16:44:35	16:44:35	16:44:35	16:44:35	16:44:35			16:44:35	16:44:35	16:44:38	16:44:38	16:44:38	16:44:38	16:44:38	16:44:38			16:44:38	16:44:38		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
61	16:44:38	16:44:38	16:44:38	16:44:38	16:44:38	16:44:38			16:44:38	16:44:38	16:44:41	16:44:41	16:44:41	16:44:41	16:44:41	16:44:41			16:44:41	16:44:41		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
62	16:44:41	16:44:41	16:44:41	16:44:41	16:44:41	16:44:41			16:44:41	16:44:41	16:44:44	16:44:44	16:44:44	16:44:44	16:44:44	16:44:44			16:44:44	16:44:44		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
63	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45	16:44:45			16:44:45	16:44:45	16:44:47	16:44:47	16:44:47	16:44:47	16:44:47	16:44:47			16:44:48	16:44:48		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
64	16:44:48	16:44:48	16:44:48	16:44:48	16:44:48	16:44:48			16:44:48	16:44:48	16:44:51	16:44:51	16:44:51	16:44:51	16:44:51	16:44:51			16:44:51	16:44:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
65	16:44:51	16:44:51	16:44:51	16:44:51	16:44:51	16:44:51			16:44:51	16:44:51	16:44:54	16:44:54	16:44:54	16:44:54	16:44:54	16:44:54			16:44:54	16:44:54		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
66	16:44:54	16:44:54	16:44:54	16:44:54	16:44:54	16:44:54			16:44:54	16:44:54	16:44:57	16:44:57	16:44:57	16:44:57	16:44:57	16:44:57			16:44:58	16:44:58		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
67	16:44:58	16:44:58	16:44:58	16:44:58	16:44:58	16:44:58			16:44:58	16:44:58	16:45:01	16:45:01	16:45:01	16:45:01	16:45:01	16:45:01			16:45:01	16:45:01		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
68	16:45:01	16:45:01	16:45:01	16:45:01	16:45:01	16:45:01			16:45:01	16:45:01	16:45:04	16:45:04	16:45:04	16:45:04	16:45:04	16:45:04			16:45:04	16:45:04		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
69	16:45:04	16:45:04	16:45:04	16:45:04	16:45:04	16:45:04			16:45:04	16:45:04	16:45:07	16:45:07	16:45:07	16:45:07	16:45:07	16:45:07			16:45:08	16:45:08		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
70	16:45:08	16:45:08	16:45:08	16:45:08	16:45:08	16:45:08			16:45:08	16:45:08	16:45:11	16:45:11	16:45:11	16:45:11	16:45:11	16:45:11			16:45:11	16:45:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
71	16:45:11	16:45:11	16:45:11	16:45:11	16:45:11	16:45:11			16:45:11	16:45:11	16:45:14	16:45:14	16:45:14	16:45:14	16:45:14	16:45:14			16:45:14	16:45:14		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
72	16:45:14	16:45:14	16:45:14	16:45:14	16:45:14	16:45:14			16:45:14	16:45:14	16:45:17	16:45:17	16:45:17	16:45:17	16:45:17	16:45:17			16:45:17	16:45:17		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
73	16:45:18	16:45:18	16:45:18	16:45:18	16:45:18	16:45:18			16:45:18	16:45:18	16:45:20	16:45:20	16:45:20	16:45:20	16:45:20	16:45:20			16:45:21	16:45:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
74	16:45:21	16:45:21	16:45:21	16:45:21	16:45:21	16:45:21			16:45:21	16:45:21	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24			16:45:24	16:45:24		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
75	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24			16:45:24	16:45:24	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27			16:45:27	16:45:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
76	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27			16:45:27	16:45:27	16:45:30	16:45:30	16:45:30	16:45:30	16:45:30	16:45:30			16:45:31	16:45:31		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
77	16:45:31	16:45:31	16:45:31	16:45:31	16:45:31	16:45:31			16:45:31	16:45:31	16:45:34	16:45:34	16:45:34	16:45:34	16:45:34	16:45:34			16:45:34	16:45:34		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
78	16:45:34	16:45:34	16:45:34	16:45:34	16:45:34	16:45:34			16:45:34	16:45:34	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37			16:45:37	16:45:37		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
79	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37			16:45:37	16:45:37	16:45:40	16:45:40	16:45:40	16:45:40	16:45:40	16:45:40			16:45:41	16:45:41		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
80	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41	16:45:41			16:45:41	16:45:41	16:45:44	16:45:44	16:45:44	16:45:44	16:45:44	16:45:44			16:45:44	16:45:44		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
81	16:45:44	16:45:44	16:45:44	16:45:44	16:45:44	16:45:44			16:45:44	16:45:44	16:45:47	16:45:47	16:45:47	16:45:47	16:45:47	16:45:47			16:45:47	16:45:47		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
82	16:45:47	16:45:47	16:45:47	16:45:47	16:45:47	16:45:47			16:45:47	16:45:47	16:45:50	16:45:50	16:45:50	16:45:50	16:45:50	16:45:50			16:45:50	16:45:50		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
83	16:45:51	16:45:51	16:45:51	16:45:51	16:45:51	16:45:51			16:45:51	16:45:51	16:45:53	16:45:53	16:45:53	16:45:53	16:45:53	16:45:53			16:45:54	16:45:54		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
84	16:45:54	16:45:54	16:45:54	16:45:54	16:45:54	16:45:54			16:45:54	16:45:54	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57			16:45:57	16:45:57		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
85	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57			16:45:57	16:45:57	16:46:00	16:46:00	16:46:00	16:46:00	16:46:00	16:46:00			16:46:00	16:46:00		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
86	16:46:00	16:46:00	16:46:00	16:46:00	16:46:00	16:46:00			16:46:00	16:46:00	16:46:03	16:46:03	16:46:03	16:46:03	16:46:03	16:46:03			16:46:04	16:46:04		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
