Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
70	15:55:50	15:55:50	15:55:50	15:55:50	15:55:50	15:55:50			15:55:50	15:55:50	15:55:53	15:55:53	15:55:53	15:55:53	15:55:53	15:55:53			15:55:53	15:55:53		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
71	15:55:53	15:55:53	15:55:53	15:55:53	15:55:53	15:55:53			15:55:53	15:55:53	15:55:56	15:55:56	15:55:56	15:55:56	15:55:56	15:55:56			15:55:56	15:55:56		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
72	15:55:56	15:55:56	15:55:56	15:55:56	15:55:56	15:55:56			15:55:57	15:55:57	15:55:59	15:55:59	15:55:59	15:55:59	15:55:59	15:55:59			15:56:00	15:56:00		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
73	15:56:00	15:56:00	15:56:00	15:56:00	15:56:00	15:56:00			15:56:00	15:56:00	15:56:03	15:56:03	15:56:03	15:56:03	15:56:03	15:56:03			15:56:03	15:56:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
74	15:56:03	15:56:03	15:56:03	15:56:03	15:56:03	15:56:03			15:56:03	15:56:03	15:56:06	15:56:06	15:56:06	15:56:06	15:56:06	15:56:06			15:56:06	15:56:06		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
75	15:56:07	15:56:07	15:56:07	15:56:07	15:56:07	15:56:07			15:56:07	15:56:07	15:56:10	15:56:10	15:56:10	15:56:10	15:56:10	15:56:10			15:56:10	15:56:10		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
76	15:56:10	15:56:10	15:56:10	15:56:10	15:56:10	15:56:10			15:56:10	15:56:10	15:56:13	15:56:13	15:56:13	15:56:13	15:56:13	15:56:13			15:56:13	15:56:13		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
77	15:56:13	15:56:13	15:56:13	15:56:13	15:56:13	15:56:13			15:56:13	15:56:13	15:56:16	15:56:16	15:56:16	15:56:16	15:56:16	15:56:16			15:56:17	15:56:17		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
78	15:56:17	15:56:17	15:56:17	15:56:17	15:56:17	15:56:17			15:56:17	15:56:17	15:56:20	15:56:20	15:56:20	15:56:20	15:56:20	15:56:20			15:56:20	15:56:20		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
79	15:56:20	15:56:20	15:56:20	15:56:20	15:56:20	15:56:20			15:56:20	15:56:20	15:56:23	15:56:23	15:56:23	15:56:23	15:56:23	15:56:23			15:56:23	15:56:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
80	15:56:23	15:56:23	15:56:23	15:56:23	15:56:23	15:56:23			15:56:23	15:56:23	15:56:26	15:56:26	15:56:26	15:56:26	15:56:26	15:56:26			15:56:27	15:56:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
81	15:56:27	15:56:27	15:56:27	15:56:27	15:56:27	15:56:27			15:56:27	15:56:27	15:56:30	15:56:30	15:56:30	15:56:30	15:56:30	15:56:30			15:56:30	15:56:30		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
82	15:56:30	15:56:30	15:56:30	15:56:30	15:56:30	15:56:30			15:56:30	15:56:30	15:56:33	15:56:33	15:56:33	15:56:33	15:56:33	15:56:33			15:56:33	15:56:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
83	15:56:34	15:56:34	15:56:34	15:56:34	15:56:34	15:56:34			15:56:34	15:56:34	15:56:37	15:56:37	15:56:37	15:56:37	15:56:37	15:56:37			15:56:37	15:56:37		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
84	15:56:37	15:56:37	15:56:37	15:56:37	15:56:37	15:56:37			15:56:37	15:56:37	15:56:40	15:56:40	15:56:40	15:56:40	15:56:40	15:56:40			15:56:40	15:56:40		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
85	15:56:40	15:56:40	15:56:40	15:56:40	15:56:40	15:56:40			15:56:40	15:56:40	15:56:43	15:56:43	15:56:43	15:56:43	15:56:43	15:56:43			15:56:44	15:56:44		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
