link	start-time	end-time	start-time(sec)	end-time(sec)	type	simulated	measured	standard-deviation	error	absolute-error	relative-error	relative-absolute-error
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	09:00:00	09:59:59	32400	35999	COUNT_VEH	15.0	128.0	25.0	-113.0	113.0	-0.8828125	0.8828125
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	10:00:00	10:59:59	36000	39599	COUNT_VEH	0.0	116.0	25.0	-116.0	116.0	-1.0	1.0
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	11:00:00	11:59:59	39600	43199	COUNT_VEH	0.0	72.0	25.0	-72.0	72.0	-1.0	1.0
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	12:00:00	12:59:59	43200	46799	COUNT_VEH	1.0	124.0	25.0	-123.0	123.0	-0.9919354838709677	0.9919354838709677
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	13:00:00	13:59:59	46800	50399	COUNT_VEH	0.0	80.0	25.0	-80.0	80.0	-1.0	1.0
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	14:00:00	14:59:59	50400	53999	COUNT_VEH	5.0	92.0	25.0	-87.0	87.0	-0.9456521739130435	0.9456521739130435
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	15:00:00	15:59:59	54000	57599	COUNT_VEH	0.0	88.0	25.0	-88.0	88.0	-1.0	1.0
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	16:00:00	16:59:59	57600	61199	COUNT_VEH	0.0	20.0	25.0	-20.0	20.0	-1.0	1.0
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	17:00:00	17:59:59	61200	64799	COUNT_VEH	49.0	224.0	25.0	-175.0	175.0	-0.78125	0.78125
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	18:00:00	18:59:59	64800	68399	COUNT_VEH	33.0	28.0	25.0	5.0	5.0	0.17857142857142858	0.17857142857142858
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	19:00:00	19:59:59	68400	71999	COUNT_VEH	2.0	148.0	25.0	-146.0	146.0	-0.9864864864864865	0.9864864864864865
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	20:00:00	20:59:59	72000	75599	COUNT_VEH	0.0	88.0	25.0	-88.0	88.0	-1.0	1.0
org.matsim.core.network.LinkImpl@4aabca3b[id=297859_0][from_id=295100][to_id=294424][length=164.30806427860688][freespeed=8.88888888888889][capacity=710.0][permlanes=1.0][modes=[pt, car, truck, truck4, truck3, truck2]	21:00:00	21:59:59	75600	79199	COUNT_VEH	0.0	80.0	25.0	-80.0	80.0	-1.0	1.0
